Date,Price
1997-01-12,3.79
1997-01-19,4.19
1997-01-26,2.98
1997-02-02,2.91
1997-02-09,2.53
1997-02-16,2.3
1997-02-23,1.91
1997-03-02,1.82
1997-03-09,1.86
1997-03-16,1.96
1997-03-23,1.91
1997-03-30,1.84
1997-04-06,1.88
1997-04-13,1.98
1997-04-20,2.04
1997-04-27,2.14
1997-05-04,2.15
1997-05-11,2.29
1997-05-18,2.22
1997-05-25,2.22
1997-06-01,2.29
1997-06-08,2.17
1997-06-15,2.16
1997-06-22,2.22
1997-06-29,2.27
1997-07-06,2.14
1997-07-13,2.15
1997-07-20,2.24
1997-07-27,2.2
1997-08-03,2.22
1997-08-10,2.37
1997-08-17,2.53
1997-08-24,2.54
1997-08-31,2.58
1997-09-07,2.77
1997-09-14,2.76
1997-09-21,2.85
1997-09-28,3.08
1997-10-05,3.0
1997-10-12,2.83
1997-10-19,2.89
1997-10-26,3.21
1997-11-02,3.42
1997-11-09,3.16
1997-11-16,3.25
1997-11-23,2.89
1997-11-30,2.55
1997-12-07,2.51
1997-12-14,2.34
1997-12-21,2.34
1997-12-28,2.21
1998-01-04,2.26
1998-01-11,2.11
1998-01-18,2.05
1998-01-25,2.11
1998-02-01,2.08
1998-02-08,2.28
1998-02-15,2.21
1998-02-22,2.2
1998-03-01,2.22
1998-03-08,2.18
1998-03-15,2.22
1998-03-22,2.23
1998-03-29,2.3
1998-04-05,2.41
1998-04-12,2.57
1998-04-19,2.46
1998-04-26,2.4
1998-05-03,2.23
1998-05-10,2.14
1998-05-17,2.2
1998-05-24,2.13
1998-05-31,2.08
1998-06-07,2.1
1998-06-14,2.0
1998-06-21,2.11
1998-06-28,2.38
1998-07-05,2.39
1998-07-12,2.36
1998-07-19,2.21
1998-07-26,2.05
1998-08-02,1.95
1998-08-09,1.86
1998-08-16,1.85
1998-08-23,1.93
1998-08-30,1.81
1998-09-06,1.72
1998-09-13,1.83
1998-09-20,2.07
1998-09-27,2.24
1998-10-04,2.2
1998-10-11,1.99
1998-10-18,1.73
1998-10-25,1.9
1998-11-01,1.89
1998-11-08,2.11
1998-11-15,2.27
1998-11-22,2.12
1998-11-29,2.08
1998-12-06,1.34
1998-12-13,1.6
1998-12-20,1.93
1998-12-27,1.94
1999-01-03,1.84
1999-01-10,2.0
1999-01-17,1.81
1999-01-24,1.81
1999-01-31,1.76
1999-02-07,1.79
1999-02-14,1.81
1999-02-21,1.79
1999-02-28,1.7
1999-03-07,1.69
1999-03-14,1.87
1999-03-21,1.75
1999-03-28,1.79
1999-04-04,1.92
1999-04-11,2.04
1999-04-18,2.12
1999-04-25,2.18
1999-05-02,2.3
1999-05-09,2.3
1999-05-16,2.24
1999-05-23,2.27
1999-05-30,2.23
1999-06-06,2.34
1999-06-13,2.37
1999-06-20,2.27
1999-06-27,2.25
1999-07-04,2.29
1999-07-11,2.21
1999-07-18,2.14
1999-07-25,2.29
1999-08-01,2.58
1999-08-08,2.63
1999-08-15,2.75
1999-08-22,2.8
1999-08-29,2.98
1999-09-05,2.69
1999-09-12,2.7
1999-09-19,2.58
1999-09-26,2.42
1999-10-03,2.46
1999-10-10,2.45
1999-10-17,2.67
1999-10-24,2.92
1999-10-31,2.94
1999-11-07,2.75
1999-11-14,2.39
1999-11-21,2.24
1999-11-28,2.0
1999-12-05,2.2
1999-12-12,2.21
1999-12-19,2.49
1999-12-26,2.53
2000-01-02,2.33
2000-01-09,2.17
2000-01-16,2.25
2000-01-23,2.46
2000-01-30,2.71
2000-02-06,2.81
2000-02-13,2.67
2000-02-20,2.64
2000-02-27,2.52
2000-03-05,2.7
2000-03-12,2.74
2000-03-19,2.81
2000-03-26,2.77
2000-04-02,2.88
2000-04-09,2.92
2000-04-16,3.03
2000-04-23,3.11
2000-04-30,3.11
2000-05-07,3.15
2000-05-14,3.26
2000-05-21,3.56
2000-05-28,4.04
2000-06-04,4.37
2000-06-11,4.2
2000-06-18,4.3
2000-06-25,4.28
2000-07-02,4.39
2000-07-09,4.16
2000-07-16,4.18
2000-07-23,3.99
2000-07-30,3.72
2000-08-06,4.01
2000-08-13,4.44
2000-08-20,4.33
2000-08-27,4.63
2000-09-03,4.66
2000-09-10,4.82
2000-09-17,5.05
2000-09-24,5.17
2000-10-01,5.21
2000-10-08,5.2
2000-10-15,5.26
2000-10-22,5.17
2000-10-29,4.68
2000-11-05,4.49
2000-11-12,4.96
2000-11-19,5.78
2000-11-26,6.29
2000-12-03,6.18
2000-12-10,8.16
2000-12-17,8.37
2000-12-24,9.86
2000-12-31,9.88
2001-01-07,9.79
2001-01-14,9.57
2001-01-21,7.68
2001-01-28,7.07
2001-02-04,6.23
2001-02-11,5.98
2001-02-18,5.63
2001-02-25,5.13
2001-03-04,5.14
2001-03-11,5.24
2001-03-18,5.12
2001-03-25,5.2
2001-04-01,5.39
2001-04-08,5.27
2001-04-15,5.44
2001-04-22,5.21
2001-04-29,4.99
2001-05-06,4.56
2001-05-13,4.22
2001-05-20,4.31
2001-05-27,4.05
2001-06-03,3.74
2001-06-10,3.79
2001-06-17,3.97
2001-06-24,3.81
2001-07-01,3.3
2001-07-08,3.0
2001-07-15,3.19
2001-07-22,3.07
2001-07-29,3.08
2001-08-05,3.21
2001-08-12,3.09
2001-08-19,3.18
2001-08-26,3.04
2001-09-02,2.45
2001-09-09,2.34
2001-09-16,2.4
2001-09-23,2.15
2001-09-30,1.9
2001-10-07,1.96
2001-10-14,2.21
2001-10-21,2.42
2001-10-28,2.86
2001-11-04,3.06
2001-11-11,2.72
2001-11-18,2.16
2001-11-25,2.18
2001-12-02,2.0
2001-12-09,1.98
2001-12-16,2.45
2001-12-23,2.4
2001-12-30,2.4
2002-01-06,2.53
2002-01-13,2.38
2002-01-20,2.34
2002-01-27,2.18
2002-02-03,2.18
2002-02-10,2.22
2002-02-17,2.28
2002-02-24,2.38
2002-03-03,2.47
2002-03-10,2.67
2002-03-17,2.92
2002-03-24,3.31
2002-03-31,3.4
2002-04-07,3.54
2002-04-14,3.21
2002-04-21,3.4
2002-04-28,3.5
2002-05-05,3.65
2002-05-12,3.65
2002-05-19,3.57
2002-05-26,3.35
2002-06-02,3.24
2002-06-09,3.24
2002-06-16,3.11
2002-06-23,3.26
2002-06-30,3.43
2002-07-07,3.18
2002-07-14,2.96
2002-07-21,2.9
2002-07-28,2.97
2002-08-04,3.01
2002-08-11,2.78
2002-08-18,2.99
2002-08-25,3.28
2002-09-01,3.33
2002-09-08,3.2
2002-09-15,3.3
2002-09-22,3.71
2002-09-29,3.8
2002-10-06,4.17
2002-10-13,3.85
2002-10-20,4.14
2002-10-27,4.22
2002-11-03,4.23
2002-11-10,3.88
2002-11-17,3.86
2002-11-24,4.25
2002-12-01,4.25
2002-12-08,4.31
2002-12-15,4.64
2002-12-22,5.12
2002-12-29,4.96
2003-01-05,4.85
2003-01-12,5.03
2003-01-19,5.37
2003-01-26,5.91
2003-02-02,5.68
2003-02-09,6.11
2003-02-16,6.08
2003-02-23,6.32
2003-03-02,12.03
2003-03-09,7.8
2003-03-16,5.94
2003-03-23,5.18
2003-03-30,4.99
2003-04-06,4.91
2003-04-13,5.15
2003-04-20,5.5
2003-04-27,5.51
2003-05-04,5.25
2003-05-11,5.57
2003-05-18,6.05
2003-05-25,6.02
2003-06-01,5.83
2003-06-08,6.26
2003-06-15,5.94
2003-06-22,5.57
2003-06-29,5.61
2003-07-06,5.14
2003-07-13,5.36
2003-07-20,5.06
2003-07-27,4.91
2003-08-03,4.68
2003-08-10,4.83
2003-08-17,5.05
2003-08-24,5.07
2003-08-31,5.05
2003-09-07,4.69
2003-09-14,4.76
2003-09-21,4.56
2003-09-28,4.49
2003-10-05,4.49
2003-10-12,4.72
2003-10-19,4.84
2003-10-26,4.7
2003-11-02,4.38
2003-11-09,4.36
2003-11-16,4.59
2003-11-23,4.36
2003-11-30,4.64
2003-12-07,5.58
2003-12-14,6.51
2003-12-21,6.73
2003-12-28,5.8
2004-01-04,5.73
2004-01-11,6.65
2004-01-18,5.95
2004-01-25,6.06
2004-02-01,5.88
2004-02-08,5.57
2004-02-15,5.45
2004-02-22,5.31
2004-02-29,5.14
2004-03-07,5.27
2004-03-14,5.39
2004-03-21,5.58
2004-03-28,5.31
2004-04-04,5.56
2004-04-11,5.78
2004-04-18,5.76
2004-04-25,5.53
2004-05-02,5.76
2004-05-09,6.1
2004-05-16,6.33
2004-05-23,6.33
2004-05-30,6.57
2004-06-06,6.39
2004-06-13,6.08
